Q1	Q1_R1
Q11_R1	Q11_R18
Q11_R1	Q11_R20
Q11_R1	Q11_R26
Q11_R1	Q11_R27
Q11_R1	Q11_R31
Q11_R1	Q11_R36
Q11_R1	Q11_R40
Q11_R3	Q11_R13
Q11_R3	Q11_R18
Q11_R3	Q11_R20
Q11_R3	Q11_R26
Q11_R3	Q11_R27
Q11_R3	Q11_R31
Q11_R3	Q11_R36
Q11_R3	Q11_R40
Q11_R13	Q11_R18
Q11_R13	Q11_R20
Q11_R13	Q11_R26
Q11_R13	Q11_R27
Q11_R13	Q11_R31
Q11_R13	Q11_R36
Q11_R13	Q11_R40
Q11_R18	Q11_R20
Q11_R18	Q11_R26
Q11_R18	Q11_R27
Q11_R18	Q11_R31
Q11_R18	Q11_R36
Q11_R18	Q11_R40
Q11_R20	Q11_R26
Q11_R20	Q11_R27
Q11_R20	Q11_R31
Q11_R20	Q11_R36
Q11_R20	Q11_R40
Q11_R26	Q11_R27
Q11_R26	Q11_R31
Q11_R26	Q11_R36
Q11_R26	Q11_R40
Q11_R27	Q11_R31
Q11_R27	Q11_R36
Q11_R27	Q11_R40
Q11_R31	Q11_R36
Q11_R31	Q11_R40
Q11_R36	Q11_R40
Q12	Q12_R2
Q12_R2	Q12_R7
Q13	Q13_R3
Q13_R3	Q13_R7
Q14	Q14_R1
Q14_R1	Q14_R5
Q14_R1	Q14_R7
Q14_R1	Q14_R9
Q14_R1	Q14_R14
Q14_R1	Q14_R17
Q14_R1	Q14_R20
Q14_R1	Q14_R23
Q14_R5	Q14_R7
Q14_R5	Q14_R9
Q14_R5	Q14_R14
Q14_R5	Q14_R17
Q14_R5	Q14_R20
Q14_R5	Q14_R23
Q14_R7	Q14_R9
Q14_R7	Q14_R14
Q14_R7	Q14_R17
Q14_R7	Q14_R20
Q14_R7	Q14_R23
Q14_R9	Q14_R14
Q14_R9	Q14_R17
Q14_R9	Q14_R20
Q14_R9	Q14_R23
Q14_R14	Q14_R17
Q14_R14	Q14_R20
Q14_R14	Q14_R23
Q14_R17	Q14_R20
Q14_R17	Q14_R23
Q14_R20	Q14_R23
Q15	Q15_R1
Q15_R1	Q15_R4
Q15_R1	Q15_R6
Q15_R1	Q15_R9
Q15_R1	Q15_R21
Q15_R1	Q15_R23
Q15_R1	Q15_R30
Q15_R4	Q15_R6
Q15_R4	Q15_R9
Q15_R4	Q15_R21
Q15_R4	Q15_R23
Q15_R4	Q15_R30
Q15_R6	Q15_R9
Q15_R6	Q15_R21
Q15_R6	Q15_R23
Q15_R6	Q15_R30
Q15_R9	Q15_R21
Q15_R9	Q15_R23
Q15_R9	Q15_R30
Q15_R21	Q15_R23
Q15_R21	Q15_R30
Q15_R23	Q15_R30
Q17	Q17_R3
Q17_R3	Q17_R13
Q17_R3	Q17_R17
Q17_R3	Q17_R23
Q17_R3	Q17_R40
Q17_R13	Q17_R17
Q17_R13	Q17_R23
Q17_R13	Q17_R40
Q17_R17	Q17_R23
Q17_R17	Q17_R40
Q17_R23	Q17_R40
Q18	Q18_R6
Q18_R6	Q18_R9
Q18_R6	Q18_R18
Q18_R6	Q18_R19
Q18_R6	Q18_R28
Q18_R6	Q18_R29
Q18_R6	Q18_R35
Q18_R9	Q18_R18
Q18_R9	Q18_R19
Q18_R9	Q18_R28
Q18_R9	Q18_R29
Q18_R9	Q18_R35
Q18_R18	Q18_R19
Q18_R18	Q18_R28
Q18_R18	Q18_R29
Q18_R18	Q18_R35
Q18_R19	Q18_R28
Q18_R19	Q18_R29
Q18_R19	Q18_R35
Q18_R28	Q18_R29
Q18_R28	Q18_R35
Q18_R29	Q18_R35
Q19	Q19_R6
Q19_R6	Q19_R10
Q19_R6	Q19_R22
Q19_R6	Q19_R38
Q19_R10	Q19_R22
Q19_R10	Q19_R38
Q19_R22	Q19_R38
Q20	Q20_R20
Q20_R20	Q20_R22
Q20_R20	Q20_R34
Q20_R20	Q20_R59
Q20_R20	Q20_R66
Q20_R22	Q20_R34
Q20_R22	Q20_R59
Q20_R22	Q20_R66
Q20_R34	Q20_R59
Q20_R34	Q20_R66
Q20_R59	Q20_R66
Q21	Q21_R22
Q21_R22	Q21_R23
Q21_R22	Q21_R77
Q21_R23	Q21_R77
Q22	Q22_R17
Q22_R17	Q22_R32
Q22_R17	Q22_R35
Q22_R17	Q22_R42
Q22_R32	Q22_R35
Q22_R32	Q22_R42
Q22_R35	Q22_R42
Q23	Q23_R7
Q23_R7	Q23_R9
Q23_R7	Q23_R11
Q23_R7	Q23_R14
Q23_R7	Q23_R34
Q23_R7	Q23_R39
Q23_R9	Q23_R11
Q23_R9	Q23_R14
Q23_R9	Q23_R34
Q23_R9	Q23_R39
Q23_R11	Q23_R14
Q23_R11	Q23_R34
Q23_R11	Q23_R39
Q23_R14	Q23_R34
Q23_R14	Q23_R39
Q23_R34	Q23_R39
Q24	Q24_R65
Q25	Q25_R2
Q25_R2	Q25_R25
Q25_R2	Q25_R47
Q25_R2	Q25_R53
Q25_R2	Q25_R58
Q25_R2	Q25_R62
Q25_R2	Q25_R74
Q25_R2	Q25_R75
Q25_R2	Q25_R78
Q25_R25	Q25_R47
Q25_R25	Q25_R53
Q25_R25	Q25_R58
Q25_R25	Q25_R62
Q25_R25	Q25_R74
Q25_R25	Q25_R75
Q25_R25	Q25_R78
Q25_R47	Q25_R53
Q25_R47	Q25_R58
Q25_R47	Q25_R62
Q25_R47	Q25_R74
Q25_R47	Q25_R75
Q25_R47	Q25_R78
Q25_R53	Q25_R58
Q25_R53	Q25_R62
Q25_R53	Q25_R74
Q25_R53	Q25_R75
Q25_R53	Q25_R78
Q25_R58	Q25_R62
Q25_R58	Q25_R74
Q25_R58	Q25_R75
Q25_R58	Q25_R78
Q25_R62	Q25_R74
Q25_R62	Q25_R75
Q25_R62	Q25_R78
Q25_R74	Q25_R75
Q25_R74	Q25_R78
Q25_R75	Q25_R78
Q26	Q26_R4
Q26_R4	Q26_R26
Q26_R4	Q26_R65
Q26_R26	Q26_R65
Q27	Q27_R2
Q27_R2	Q27_R4
Q27_R2	Q27_R11
Q27_R2	Q27_R13
Q27_R2	Q27_R14
Q27_R2	Q27_R19
Q27_R2	Q27_R24
Q27_R2	Q27_R36
Q27_R2	Q27_R38
Q27_R2	Q27_R39
Q27_R4	Q27_R11
Q27_R4	Q27_R13
Q27_R4	Q27_R14
Q27_R4	Q27_R19
Q27_R4	Q27_R24
Q27_R4	Q27_R36
Q27_R4	Q27_R38
Q27_R4	Q27_R39
Q27_R11	Q27_R13
Q27_R11	Q27_R14
Q27_R11	Q27_R19
Q27_R11	Q27_R24
Q27_R11	Q27_R36
Q27_R11	Q27_R38
Q27_R11	Q27_R39
Q27_R13	Q27_R14
Q27_R13	Q27_R19
Q27_R13	Q27_R24
Q27_R13	Q27_R36
Q27_R13	Q27_R38
Q27_R13	Q27_R39
Q27_R14	Q27_R19
Q27_R14	Q27_R24
Q27_R14	Q27_R36
Q27_R14	Q27_R38
Q27_R14	Q27_R39
Q27_R19	Q27_R24
Q27_R19	Q27_R36
Q27_R19	Q27_R38
Q27_R19	Q27_R39
Q27_R24	Q27_R36
Q27_R24	Q27_R38
Q27_R24	Q27_R39
Q27_R36	Q27_R38
Q27_R36	Q27_R39
Q27_R38	Q27_R39
Q28	Q28_R6
Q28_R6	Q28_R16
Q28_R6	Q28_R24
Q28_R6	Q28_R31
Q28_R16	Q28_R24
Q28_R16	Q28_R31
Q28_R24	Q28_R31
Q29	Q29_R2
Q29_R2	Q29_R7
Q29_R2	Q29_R10
Q29_R2	Q29_R42
Q29_R7	Q29_R10
Q29_R7	Q29_R42
Q29_R10	Q29_R42
Q32	Q32_R18
Q33	Q33_R10
Q33_R10	Q33_R12
Q33_R10	Q33_R26
Q33_R10	Q33_R27
Q33_R10	Q33_R33
Q33_R10	Q33_R39
Q33_R10	Q33_R78
Q33_R10	Q33_R91
Q33_R10	Q33_R92
Q33_R12	Q33_R26
Q33_R12	Q33_R27
Q33_R12	Q33_R33
Q33_R12	Q33_R39
Q33_R12	Q33_R78
Q33_R12	Q33_R91
Q33_R12	Q33_R92
Q33_R26	Q33_R27
Q33_R26	Q33_R33
Q33_R26	Q33_R39
Q33_R26	Q33_R78
Q33_R26	Q33_R91
Q33_R26	Q33_R92
Q33_R27	Q33_R33
Q33_R27	Q33_R39
Q33_R27	Q33_R78
Q33_R27	Q33_R91
Q33_R27	Q33_R92
Q33_R33	Q33_R39
Q33_R33	Q33_R78
Q33_R33	Q33_R91
Q33_R33	Q33_R92
Q33_R39	Q33_R78
Q33_R39	Q33_R91
Q33_R39	Q33_R92
Q33_R78	Q33_R91
Q33_R78	Q33_R92
Q33_R91	Q33_R92
Q34	Q34_R16
Q34_R16	Q34_R19
Q34_R16	Q34_R45
Q34_R16	Q34_R46
Q34_R16	Q34_R55
Q34_R19	Q34_R45
Q34_R19	Q34_R46
Q34_R19	Q34_R55
Q34_R45	Q34_R46
Q34_R45	Q34_R55
Q34_R46	Q34_R55
Q36	Q36_R7
Q36_R7	Q36_R45
Q36_R7	Q36_R47
Q36_R7	Q36_R54
Q36_R7	Q36_R55
Q36_R7	Q36_R57
Q36_R7	Q36_R60
Q36_R7	Q36_R78
Q36_R7	Q36_R79
Q36_R45	Q36_R47
Q36_R45	Q36_R54
Q36_R45	Q36_R55
Q36_R45	Q36_R57
Q36_R45	Q36_R60
Q36_R45	Q36_R78
Q36_R45	Q36_R79
Q36_R47	Q36_R54
Q36_R47	Q36_R55
Q36_R47	Q36_R57
Q36_R47	Q36_R60
Q36_R47	Q36_R78
Q36_R47	Q36_R79
Q36_R54	Q36_R55
Q36_R54	Q36_R57
Q36_R54	Q36_R60
Q36_R54	Q36_R78
Q36_R54	Q36_R79
Q36_R55	Q36_R57
Q36_R55	Q36_R60
Q36_R55	Q36_R78
Q36_R55	Q36_R79
Q36_R57	Q36_R60
Q36_R57	Q36_R78
Q36_R57	Q36_R79
Q36_R60	Q36_R78
Q36_R60	Q36_R79
Q36_R78	Q36_R79
Q37	Q37_R7
Q37_R7	Q37_R11
Q37_R7	Q37_R27
Q37_R7	Q37_R31
Q37_R7	Q37_R39
Q37_R7	Q37_R46
Q37_R7	Q37_R69
Q37_R11	Q37_R27
Q37_R11	Q37_R31
Q37_R11	Q37_R39
Q37_R11	Q37_R46
Q37_R11	Q37_R69
Q37_R27	Q37_R31
Q37_R27	Q37_R39
Q37_R27	Q37_R46
Q37_R27	Q37_R69
Q37_R31	Q37_R39
Q37_R31	Q37_R46
Q37_R31	Q37_R69
Q37_R39	Q37_R46
Q37_R39	Q37_R69
Q37_R46	Q37_R69
Q38	Q38_R13
Q38_R13	Q38_R18
Q38_R13	Q38_R41
Q38_R18	Q38_R41
Q39	Q39_R3
Q39_R3	Q39_R4
Q39_R3	Q39_R5
Q39_R3	Q39_R6
Q39_R3	Q39_R7
Q39_R3	Q39_R9
Q39_R3	Q39_R22
Q39_R4	Q39_R5
Q39_R4	Q39_R6
Q39_R4	Q39_R7
Q39_R4	Q39_R9
Q39_R4	Q39_R22
Q39_R5	Q39_R6
Q39_R5	Q39_R7
Q39_R5	Q39_R9
Q39_R5	Q39_R22
Q39_R6	Q39_R7
Q39_R6	Q39_R9
Q39_R6	Q39_R22
Q39_R7	Q39_R9
Q39_R7	Q39_R22
Q39_R9	Q39_R22
Q40	Q40_R2
Q41	Q41_R9
Q41_R9	Q41_R13
Q41_R9	Q41_R18
Q41_R9	Q41_R29
Q41_R9	Q41_R46
Q41_R9	Q41_R47
Q41_R9	Q41_R56
Q41_R13	Q41_R18
Q41_R13	Q41_R29
Q41_R13	Q41_R46
Q41_R13	Q41_R47
Q41_R13	Q41_R56
Q41_R18	Q41_R29
Q41_R18	Q41_R46
Q41_R18	Q41_R47
Q41_R18	Q41_R56
Q41_R29	Q41_R46
Q41_R29	Q41_R47
Q41_R29	Q41_R56
Q41_R46	Q41_R47
Q41_R46	Q41_R56
Q41_R47	Q41_R56
Q42	Q42_R6
Q42_R6	Q42_R10
Q42_R6	Q42_R13
Q42_R6	Q42_R18
Q42_R6	Q42_R25
Q42_R10	Q42_R13
Q42_R10	Q42_R18
Q42_R10	Q42_R25
Q42_R13	Q42_R18
Q42_R13	Q42_R25
Q42_R18	Q42_R25
Q43	Q43_R3
Q43_R3	Q43_R7
Q43_R3	Q43_R11
Q43_R3	Q43_R19
Q43_R3	Q43_R45
Q43_R3	Q43_R51
Q43_R3	Q43_R57
Q43_R7	Q43_R11
Q43_R7	Q43_R19
Q43_R7	Q43_R45
Q43_R7	Q43_R51
Q43_R7	Q43_R57
Q43_R11	Q43_R19
Q43_R11	Q43_R45
Q43_R11	Q43_R51
Q43_R11	Q43_R57
Q43_R19	Q43_R45
Q43_R19	Q43_R51
Q43_R19	Q43_R57
Q43_R45	Q43_R51
Q43_R45	Q43_R57
Q43_R51	Q43_R57
Q44	Q44_R29
Q44_R29	Q44_R35
Q44_R29	Q44_R37
Q44_R29	Q44_R45
Q44_R29	Q44_R51
Q44_R29	Q44_R58
Q44_R29	Q44_R64
Q44_R35	Q44_R37
Q44_R35	Q44_R45
Q44_R35	Q44_R51
Q44_R35	Q44_R58
Q44_R35	Q44_R64
Q44_R37	Q44_R45
Q44_R37	Q44_R51
Q44_R37	Q44_R58
Q44_R37	Q44_R64
Q44_R45	Q44_R51
Q44_R45	Q44_R58
Q44_R45	Q44_R64
Q44_R51	Q44_R58
Q44_R51	Q44_R64
Q44_R58	Q44_R64
Q46	Q46_R1
Q46_R1	Q46_R8
Q46_R1	Q46_R10
Q46_R1	Q46_R11
Q46_R1	Q46_R12
Q46_R1	Q46_R13
Q46_R1	Q46_R25
Q46_R8	Q46_R10
Q46_R8	Q46_R11
Q46_R8	Q46_R12
Q46_R8	Q46_R13
Q46_R8	Q46_R25
Q46_R10	Q46_R11
Q46_R10	Q46_R12
Q46_R10	Q46_R13
Q46_R10	Q46_R25
Q46_R11	Q46_R12
Q46_R11	Q46_R13
Q46_R11	Q46_R25
Q46_R12	Q46_R13
Q46_R12	Q46_R25
Q46_R13	Q46_R25
Q47	Q47_R2
Q47_R2	Q47_R11
Q48	Q48_R4
Q48_R4	Q48_R9
Q48_R4	Q48_R10
Q48_R4	Q48_R39
Q48_R9	Q48_R10
Q48_R9	Q48_R39
Q48_R10	Q48_R39
Q49	Q49_R4
Q49_R4	Q49_R6
Q49_R4	Q49_R9
Q49_R4	Q49_R15
Q49_R4	Q49_R23
Q49_R4	Q49_R25
Q49_R4	Q49_R28
Q49_R4	Q49_R31
Q49_R4	Q49_R67
Q49_R6	Q49_R9
Q49_R6	Q49_R15
Q49_R6	Q49_R23
Q49_R6	Q49_R25
Q49_R6	Q49_R28
Q49_R6	Q49_R31
Q49_R6	Q49_R67
Q49_R9	Q49_R15
Q49_R9	Q49_R23
Q49_R9	Q49_R25
Q49_R9	Q49_R28
Q49_R9	Q49_R31
Q49_R9	Q49_R67
Q49_R15	Q49_R23
Q49_R15	Q49_R25
Q49_R15	Q49_R28
Q49_R15	Q49_R31
Q49_R15	Q49_R67
Q49_R23	Q49_R25
Q49_R23	Q49_R28
Q49_R23	Q49_R31
Q49_R23	Q49_R67
Q49_R25	Q49_R28
Q49_R25	Q49_R31
Q49_R25	Q49_R67
Q49_R28	Q49_R31
Q49_R28	Q49_R67
Q49_R31	Q49_R67
Q50	Q50_R28
Q50_R28	Q50_R29
Q51	Q51_R12
Q51_R12	Q51_R19
Q51_R12	Q51_R24
Q51_R12	Q51_R25
Q51_R12	Q51_R37
Q51_R12	Q51_R47
Q51_R19	Q51_R24
Q51_R19	Q51_R25
Q51_R19	Q51_R37
Q51_R19	Q51_R47
Q51_R24	Q51_R25
Q51_R24	Q51_R37
Q51_R24	Q51_R47
Q51_R25	Q51_R37
Q51_R25	Q51_R47
Q51_R37	Q51_R47
Q52	Q52_R4
Q52_R4	Q52_R10
Q52_R4	Q52_R42
Q52_R10	Q52_R42
Q54	Q54_R12
Q54_R12	Q54_R23
Q55	Q55_R1
Q55_R1	Q55_R4
Q55_R1	Q55_R6
Q55_R1	Q55_R18
Q55_R1	Q55_R20
Q55_R1	Q55_R29
Q55_R1	Q55_R34
Q55_R1	Q55_R51
Q55_R1	Q55_R55
Q55_R1	Q55_R58
Q55_R4	Q55_R6
Q55_R4	Q55_R18
Q55_R4	Q55_R20
Q55_R4	Q55_R29
Q55_R4	Q55_R34
Q55_R4	Q55_R51
Q55_R4	Q55_R55
Q55_R4	Q55_R58
Q55_R6	Q55_R18
Q55_R6	Q55_R20
Q55_R6	Q55_R29
Q55_R6	Q55_R34
Q55_R6	Q55_R51
Q55_R6	Q55_R55
Q55_R6	Q55_R58
Q55_R18	Q55_R20
Q55_R18	Q55_R29
Q55_R18	Q55_R34
Q55_R18	Q55_R51
Q55_R18	Q55_R55
Q55_R18	Q55_R58
Q55_R20	Q55_R29
Q55_R20	Q55_R34
Q55_R20	Q55_R51
Q55_R20	Q55_R55
Q55_R20	Q55_R58
Q55_R29	Q55_R34
Q55_R29	Q55_R51
Q55_R29	Q55_R55
Q55_R29	Q55_R58
Q55_R34	Q55_R51
Q55_R34	Q55_R55
Q55_R34	Q55_R58
Q55_R51	Q55_R55
Q55_R51	Q55_R58
Q55_R55	Q55_R58
Q56	Q56_R23
Q56_R23	Q56_R35
Q56_R23	Q56_R57
Q56_R23	Q56_R64
Q56_R35	Q56_R57
Q56_R35	Q56_R64
Q56_R57	Q56_R64
Q57	Q57_R62
Q58	Q58_R7
Q58_R7	Q58_R13
Q58_R7	Q58_R30
Q58_R7	Q58_R46
Q58_R7	Q58_R47
Q58_R7	Q58_R57
Q58_R7	Q58_R64
Q58_R13	Q58_R30
Q58_R13	Q58_R46
Q58_R13	Q58_R47
Q58_R13	Q58_R57
Q58_R13	Q58_R64
Q58_R30	Q58_R46
Q58_R30	Q58_R47
Q58_R30	Q58_R57
Q58_R30	Q58_R64
Q58_R46	Q58_R47
Q58_R46	Q58_R57
Q58_R46	Q58_R64
Q58_R47	Q58_R57
Q58_R47	Q58_R64
Q58_R57	Q58_R64
Q59	Q59_R2
Q59_R2	Q59_R10
Q59_R2	Q59_R15
Q59_R2	Q59_R16
Q59_R2	Q59_R17
Q59_R2	Q59_R25
Q59_R2	Q59_R26
Q59_R2	Q59_R33
Q59_R10	Q59_R15
Q59_R10	Q59_R16
Q59_R10	Q59_R17
Q59_R10	Q59_R25
Q59_R10	Q59_R26
Q59_R10	Q59_R33
Q59_R15	Q59_R16
Q59_R15	Q59_R17
Q59_R15	Q59_R25
Q59_R15	Q59_R26
Q59_R15	Q59_R33
Q59_R16	Q59_R17
Q59_R16	Q59_R25
Q59_R16	Q59_R26
Q59_R16	Q59_R33
Q59_R17	Q59_R25
Q59_R17	Q59_R26
Q59_R17	Q59_R33
Q59_R25	Q59_R26
Q59_R25	Q59_R33
Q59_R26	Q59_R33
Q60	Q60_R11
Q60_R11	Q60_R21
Q60_R11	Q60_R25
Q60_R21	Q60_R25
Q61	Q61_R3
Q61_R3	Q61_R13
Q61_R3	Q61_R21
Q61_R13	Q61_R21
Q62	Q62_R31
Q63	Q63_R3
Q65	Q65_R28
Q66	Q66_R3
Q66_R3	Q66_R4
Q66_R3	Q66_R8
Q66_R3	Q66_R10
Q66_R3	Q66_R11
Q66_R3	Q66_R18
Q66_R3	Q66_R19
Q66_R3	Q66_R46
Q66_R4	Q66_R8
Q66_R4	Q66_R10
Q66_R4	Q66_R11
Q66_R4	Q66_R18
Q66_R4	Q66_R19
Q66_R4	Q66_R46
Q66_R8	Q66_R10
Q66_R8	Q66_R11
Q66_R8	Q66_R18
Q66_R8	Q66_R19
Q66_R8	Q66_R46
Q66_R10	Q66_R11
Q66_R10	Q66_R18
Q66_R10	Q66_R19
Q66_R10	Q66_R46
Q66_R11	Q66_R18
Q66_R11	Q66_R19
Q66_R11	Q66_R46
Q66_R18	Q66_R19
Q66_R18	Q66_R46
Q66_R19	Q66_R46
Q67	Q67_R1
Q67_R1	Q67_R3
Q67_R1	Q67_R27
Q67_R1	Q67_R31
Q67_R1	Q67_R36
Q67_R1	Q67_R40
Q67_R3	Q67_R27
Q67_R3	Q67_R31
Q67_R3	Q67_R36
Q67_R3	Q67_R40
Q67_R27	Q67_R31
Q67_R27	Q67_R36
Q67_R27	Q67_R40
Q67_R31	Q67_R36
Q67_R31	Q67_R40
Q67_R36	Q67_R40
Q68	Q68_R59
Q69	Q69_R2
Q69_R2	Q69_R3
Q69_R2	Q69_R7
Q69_R2	Q69_R16
Q69_R2	Q69_R19
Q69_R2	Q69_R22
Q69_R2	Q69_R23
Q69_R2	Q69_R25
Q69_R2	Q69_R26
Q69_R3	Q69_R7
Q69_R3	Q69_R16
Q69_R3	Q69_R19
Q69_R3	Q69_R22
Q69_R3	Q69_R23
Q69_R3	Q69_R25
Q69_R3	Q69_R26
Q69_R7	Q69_R16
Q69_R7	Q69_R19
Q69_R7	Q69_R22
Q69_R7	Q69_R23
Q69_R7	Q69_R25
Q69_R7	Q69_R26
Q69_R16	Q69_R19
Q69_R16	Q69_R22
Q69_R16	Q69_R23
Q69_R16	Q69_R25
Q69_R16	Q69_R26
Q69_R19	Q69_R22
Q69_R19	Q69_R23
Q69_R19	Q69_R25
Q69_R19	Q69_R26
Q69_R22	Q69_R23
Q69_R22	Q69_R25
Q69_R22	Q69_R26
Q69_R23	Q69_R25
Q69_R23	Q69_R26
Q69_R25	Q69_R26
Q70	Q70_R5
Q71	Q71_R1
Q72	Q72_R1
Q72_R1	Q72_R21
Q72_R1	Q72_R23
Q72_R1	Q72_R24
Q72_R1	Q72_R37
Q72_R1	Q72_R39
Q72_R1	Q72_R78
Q72_R21	Q72_R23
Q72_R21	Q72_R24
Q72_R21	Q72_R37
Q72_R21	Q72_R39
Q72_R21	Q72_R78
Q72_R23	Q72_R24
Q72_R23	Q72_R37
Q72_R23	Q72_R39
Q72_R23	Q72_R78
Q72_R24	Q72_R37
Q72_R24	Q72_R39
Q72_R24	Q72_R78
Q72_R37	Q72_R39
Q72_R37	Q72_R78
Q72_R39	Q72_R78
Q73	Q73_R2
Q73_R2	Q73_R3
Q73_R2	Q73_R6
Q73_R2	Q73_R33
Q73_R2	Q73_R41
Q73_R2	Q73_R52
Q73_R2	Q73_R63
Q73_R2	Q73_R66
Q73_R3	Q73_R6
Q73_R3	Q73_R33
Q73_R3	Q73_R41
Q73_R3	Q73_R52
Q73_R3	Q73_R63
Q73_R3	Q73_R66
Q73_R6	Q73_R33
Q73_R6	Q73_R41
Q73_R6	Q73_R52
Q73_R6	Q73_R63
Q73_R6	Q73_R66
Q73_R33	Q73_R41
Q73_R33	Q73_R52
Q73_R33	Q73_R63
Q73_R33	Q73_R66
Q73_R41	Q73_R52
Q73_R41	Q73_R63
Q73_R41	Q73_R66
Q73_R52	Q73_R63
Q73_R52	Q73_R66
Q73_R63	Q73_R66
Q74	Q74_R6
Q74_R6	Q74_R7
Q74_R6	Q74_R11
Q74_R6	Q74_R37
Q74_R7	Q74_R11
Q74_R7	Q74_R37
Q74_R11	Q74_R37
Q75	Q75_R8
Q75_R8	Q75_R15
Q75_R8	Q75_R26
Q75_R8	Q75_R55
Q75_R15	Q75_R26
Q75_R15	Q75_R55
Q75_R26	Q75_R55
Q76	Q76_R41
Q76_R41	Q76_R53
Q76_R41	Q76_R58
Q76_R53	Q76_R58
Q77	Q77_R4
Q77_R4	Q77_R5
Q77_R4	Q77_R29
Q77_R5	Q77_R29
Q78	Q78_R2
Q78_R2	Q78_R3
Q78_R2	Q78_R6
Q78_R2	Q78_R7
Q78_R2	Q78_R12
Q78_R2	Q78_R14
Q78_R2	Q78_R15
Q78_R2	Q78_R17
Q78_R2	Q78_R19
Q78_R3	Q78_R6
Q78_R3	Q78_R7
Q78_R3	Q78_R12
Q78_R3	Q78_R14
Q78_R3	Q78_R15
Q78_R3	Q78_R17
Q78_R3	Q78_R19
Q78_R6	Q78_R7
Q78_R6	Q78_R12
Q78_R6	Q78_R14
Q78_R6	Q78_R15
Q78_R6	Q78_R17
Q78_R6	Q78_R19
Q78_R7	Q78_R12
Q78_R7	Q78_R14
Q78_R7	Q78_R15
Q78_R7	Q78_R17
Q78_R7	Q78_R19
Q78_R12	Q78_R14
Q78_R12	Q78_R15
Q78_R12	Q78_R17
Q78_R12	Q78_R19
Q78_R14	Q78_R15
Q78_R14	Q78_R17
Q78_R14	Q78_R19
Q78_R15	Q78_R17
Q78_R15	Q78_R19
Q78_R17	Q78_R19
Q79	Q79_R2
Q79_R2	Q79_R7
Q79_R2	Q79_R12
Q79_R2	Q79_R13
Q79_R2	Q79_R15
Q79_R2	Q79_R24
Q79_R2	Q79_R29
Q79_R2	Q79_R32
Q79_R7	Q79_R12
Q79_R7	Q79_R13
Q79_R7	Q79_R15
Q79_R7	Q79_R24
Q79_R7	Q79_R29
Q79_R7	Q79_R32
Q79_R12	Q79_R13
Q79_R12	Q79_R15
Q79_R12	Q79_R24
Q79_R12	Q79_R29
Q79_R12	Q79_R32
Q79_R13	Q79_R15
Q79_R13	Q79_R24
Q79_R13	Q79_R29
Q79_R13	Q79_R32
Q79_R15	Q79_R24
Q79_R15	Q79_R29
Q79_R15	Q79_R32
Q79_R24	Q79_R29
Q79_R24	Q79_R32
Q79_R29	Q79_R32
Q80	Q80_R11
Q80_R11	Q80_R17
Q80_R11	Q80_R35
